position,equipe,points,victoires,nulls,défaites,bo,bd,journee
1,Lyon,5,1,0,0,1,0,1
2,Stade Français,5,1,0,0,1,0,1
3,Toulon,4,1,0,0,0,0,1
4,Bayonne,4,1,0,0,0,0,1
5,Bordeaux-Bègles,4,1,0,0,0,0,1
6,Pau,4,1,0,0,0,0,1
7,Stade Toulousain,2,1,0,0,0,0,1
8,Castres,1,0,0,1,0,1,1
9,La Rochelle,1,0,0,1,0,1,1
10,Perpignan,0,0,0,1,0,0,1
11,Clermont,0,0,0,1,0,0,1
12,Montpellier,0,0,0,1,0,0,1
13,Montauban,0,0,0,1,0,0,1
14,Racing 92,0,0,0,1,0,0,1
1,Lyon,9,2,0,0,1,0,2
2,Pau,9,2,0,0,1,0,2
3,Toulon,8,2,0,0,0,0,2
4,Bayonne,8,2,0,0,0,0,2
5,Stade Toulousain,7,2,0,0,1,0,2
6,La Rochelle,5,1,0,1,0,1,2
7,Stade Français,5,1,0,1,1,0,2
8,Racing 92,4,1,0,1,0,0,2
9,Bordeaux-Bègles,4,1,0,1,0,0,2
10,Castres,2,0,0,2,0,2,2
11,Montpellier,1,0,0,2,0,1,2
12,Perpignan,0,0,0,2,0,0,2
13,Clermont,0,0,0,2,0,0,2
14,Montauban,0,0,0,2,0,0,2
1,Lyon,13,3,0,0,1,0,3
2,Bordeaux-Bègles,9,2,0,1,1,0,3
3,Pau,9,2,0,1,1,0,3
4,Toulon,8,2,0,0,0,0,3
5,Racing 92,8,2,0,1,0,0,3
6,Bayonne,8,2,0,1,0,0,3
7,Castres,7,1,0,2,1,2,3
8,Stade Toulousain,7,2,0,1,1,0,3
9,Montpellier,6,1,0,2,1,1,3
10,Stade Français,6,1,0,2,1,1,3
11,La Rochelle,5,1,0,1,0,1,3
12,Clermont,5,1,0,2,1,0,3
13,Perpignan,0,0,0,3,0,0,3
14,Montauban,0,0,0,3,0,0,3
1,Pau,14,3,0,1,2,0,4
2,Lyon,13,3,0,1,1,0,4
3,Stade Toulousain,12,3,0,1,2,0,4
4,Racing 92,12,3,0,1,0,0,4
5,Bayonne,12,3,0,1,0,0,4
6,La Rochelle,10,2,0,1,1,1,4
7,Stade Français,10,2,0,2,1,1,4
8,Bordeaux-Bègles,9,2,0,2,1,0,4
9,Toulon,9,2,0,1,0,1,4
10,Montpellier,8,1,1,2,1,1,4
11,Castres,7,1,0,3,1,2,4
12,Clermont,5,1,0,3,1,0,4
13,Montauban,2,0,1,3,0,0,4
14,Perpignan,0,0,0,4,0,0,4
1,Bayonne,16,4,0,1,0,0,5
2,Stade Français,15,3,0,2,2,1,5
3,Toulon,14,3,0,1,1,1,5
4,Bordeaux-Bègles,14,3,0,2,2,0,5
5,Pau,14,3,0,2,2,0,5
6,Lyon,13,3,0,2,1,0,5
7,Montpellier,13,2,1,2,2,1,5
8,Racing 92,13,3,0,2,0,1,5
9,Stade Toulousain,12,3,0,2,2,0,5
10,Castres,11,2,0,3,1,2,5
11,La Rochelle,10,2,0,2,1,1,5
12,Clermont,10,2,0,3,2,0,5
13,Montauban,2,0,1,4,0,0,5
14,Perpignan,0,0,0,5,0,0,5
1,Pau,19,4,0,2,3,0,6
2,Stade Français,19,4,0,2,2,1,6
3,Lyon,18,4,0,2,2,0,6
4,Stade Toulousain,17,4,0,2,3,0,6
5,Racing 92,17,4,0,2,0,1,6
6,Bayonne,16,4,0,2,0,0,6
