match_id,journée,date,id_home_team,id_away_team,home_score,away_score,winner
2298513,1,2025-09-06,135337,141952,47,24,135337
2298514,1,2025-09-06,137386,135328,19,26,135328
2298515,1,2025-09-06,135341,135336,32,7,135341
2298516,1,2025-09-06,135331,137384,15,17,137384
2298517,1,2025-09-06,135334,135338,17,27,135338
2298518,1,2025-09-06,135329,135340,23,18,135329
2298519,1,2025-09-07,135332,135339,24,34,135339
2298520,2,2025-09-13,141952,135341,18,25,135341
2298521,2,2025-09-13,135340,135332,34,16,135340
2298522,2,2025-09-13,135339,137386,31,13,135339
2298523,2,2025-09-13,137384,135337,34,10,137384
2298524,2,2025-09-13,135328,135334,26,23,135328
2298525,2,2025-09-13,135338,135331,16,12,135338
2298526,2,2025-09-14,135336,135329,44,32,135336
2298527,3,2025-09-20,135332,137384,50,27,135332
2298528,3,2025-09-20,135329,141952,71,24,135329
2298529,3,2025-09-20,135331,135328,48,17,135331
2298530,3,2025-09-20,135341,135337,42,37,135341
2298531,3,2025-09-20,137386,135336,15,28,135336
2298532,3,2025-09-20,135334,135339,44,14,135334
2298533,3,2025-11-08,135338,135340,39,14,135338
2298534,4,2025-09-27,135337,135329,28,7,135337
2298535,4,2025-09-27,135340,137386,31,8,135340
2298536,4,2025-09-27,141952,135334,22,22,Equality
2298537,4,2025-09-27,137384,135341,40,15,137384
2298538,4,2025-09-27,135336,135332,43,31,135336
2298539,4,2025-09-27,135339,135331,59,12,135339
2298540,4,2025-09-28,135328,135338,35,32,135328
2298541,5,2025-10-04,135334,135340,37,13,135334
2298542,5,2025-10-04,135338,137384,33,17,135338
2298543,5,2025-10-04,137386,135337,11,28,135337
2298544,5,2025-10-04,135332,141952,84,31,135332
2298545,5,2025-10-04,135331,135336,20,16,135331
2298546,5,2025-10-04,135329,135341,32,20,135329
2298547,5,2025-10-05,135328,135339,40,26,135328
2298548,6,2025-10-11,135332,135338,27,10,135332
2298549,6,2025-10-11,135341,137386,44,19,135341
2298550,6,2025-10-11,141952,135331,28,32,135331
2298551,6,2025-10-11,135336,135334,32,25,135336
2298552,6,2025-10-11,137384,135328,47,24,137384
2298553,6,2025-10-11,135337,135340,26,24,135337
2298554,6,2025-10-12,135339,135329,56,13,135339
2298555,7,2025-10-18,137384,135339,30,26,137384
2298556,7,2025-10-18,137386,135329,12,27,135329
2298557,7,2025-10-18,135340,141952,54,19,135340
2298559,7,2025-10-18,135328,135332,44,17,135328
2298560,7,2025-10-18,135331,135337,29,24,135331
2298561,7,2025-10-18,135334,135341,35,13,135334
2298558,7,2025-10-19,135338,135336,45,21,135338
2298562,8,2025-10-25,135336,137384,15,10,135336
2298563,8,2025-10-25,135337,135334,35,12,135337
2298565,8,2025-10-25,141952,137386,29,22,141952
2298566,8,2025-10-25,135341,135340,19,36,135340
2298567,8,2025-10-25,135332,135331,63,14,135332
2298568,8,2025-10-25,135329,135328,41,12,135329
2298564,8,2025-10-26,135339,135338,59,24,135339
2298569,9,2025-11-01,135328,141952,49,7,135328
2298570,9,2025-11-01,135331,135329,26,28,135329
2298571,9,2025-11-01,135334,135332,7,9,135332
2298572,9,2025-11-01,135338,135341,54,21,135338
2298573,9,2025-11-01,137384,137386,27,23,137384
2298575,9,2025-11-01,135339,135337,29,17,135339
2298574,9,2025-11-02,135340,135336,33,6,135340
2298582,10,2025-11-21,135329,137384,33,34,137384
2298577,10,2025-11-22,135340,135331,17,19,135331
2298578,10,2025-11-22,137386,135334,0,28,135334
2298579,10,2025-11-22,135336,135328,47,27,135336
2298580,10,2025-11-22,141952,135339,7,49,135339
2298581,10,2025-11-22,135341,135332,43,24,135341
2298576,10,2025-11-23,135337,135338,51,24,135337
2298583,11,2025-11-29,135328,135341,22,20,135328
2298584,11,2025-11-29,135331,137386,23,7,135331
2298585,11,2025-11-29,135332,135337,36,32,135332
2298586,11,2025-11-29,135334,135329,28,24,135334
2298587,11,2025-11-29,135338,141952,54,28,135338
2298589,11,2025-11-29,135339,135336,48,24,135339
2298588,11,2025-11-30,137384,135340,53,33,137384
2298590,12,2025-12-20,137386,135332,26,20,137386
2298591,12,2025-12-20,135340,135328,49,17,135340
2298592,12,2025-12-20,135337,135336,20,20,Equality
2298593,12,2025-12-20,135334,135331,33,31,135334
2298594,12,2025-12-20,141952,137384,17,53,137384
2298595,12,2025-12-20,135341,135339,19,41,135339
2298596,12,2025-12-21,135329,135338,46,7,135329
2298597,13,2025-12-27,135328,135337,35,34,135328
2298598,13,2025-12-27,135331,135341,36,22,135331
2298599,13,2025-12-27,135332,135329,34,19,135332
2298600,13,2025-12-27,135336,141952,61,16,135336
2298601,13,2025-12-28,135338,137386,31,16,135338
2298602,13,2025-12-28,137384,135334,35,33,137384
2298603,13,2025-12-28,135339,135340,60,14,135339
2298604,14,2026-01-03,135337,135331,33,15,135337
2298605,14,2026-01-03,137386,135339,30,27,137386
2298607,14,2026-01-03,135329,135336,62,20,135329
2298608,14,2026-01-03,135334,135328,62,22,135334
2298609,14,2026-01-03,141952,135332,19,34,135332
2298610,14,2026-01-03,135341,137384,22,17,135341
2298606,14,2026-01-04,135340,135338,66,0,135340
2298611,15,2026-01-24,135329,135337,28,33,135337
2298613,15,2026-01-24,135336,135341,35,34,135336
2298615,15,2026-01-24,135339,137384,59,22,135339
2298616,15,2026-01-24,137386,141952,31,8,137386
2298617,15,2026-01-24,135328,135331,10,13,135331
2298612,15,2026-01-25,135332,135340,32,27,135332
2298614,15,2026-01-25,135338,135334,30,27,135338
2298619,16,2026-01-31,135339,135328,31,10,135339
2298620,16,2026-01-31,135340,135341,24,44,135341
2298621,16,2026-01-31,135331,135332,28,23,135331
2298622,16,2026-01-31,135336,137386,37,31,135336
2298623,16,2026-01-31,135334,135337,44,7,135334
2298624,16,2026-01-31,141952,135329,16,31,135329
2298618,16,2026-02-01,137384,135338,32,12,137384
2298626,17,2026-02-14,135340,135334,33,43,135334
2298628,17,2026-02-14,135338,135332,14,34,135332
2298629,17,2026-02-14,135329,135331,57,32,135329
2298630,17,2026-02-14,135328,135336,36,41,135336
2298631,17,2026-02-14,135341,141952,73,12,135341
2298627,17,2026-02-15,135337,135339,9,13,135339
2298625,17,2026-02-22,137386,137384,40,24,137386
2298633,18,2026-02-28,135337,137386,42,21,135337
2298634,18,2026-02-28,135339,141952,68,13,135339
2298635,18,2026-02-28,135334,135336,41,17,135334
